male genotype,fitness
ABABY,1
ABABy,1
ABAbY,1
ABAby,1
ABAβY,1
ABAβy,1
ABaBY,1 - sXam
ABaBy,1 - sXam
ABabY,1 - sXam
ABaby,1 - sXam
ABaβY,1 - sXam
ABaβy,1 - sXam
ABαBY,1
ABαBy,1
ABαbY,1
ABαby,1
ABαβY,1
ABαβy,1
AbAbY,1
AbAby,1
AbAβY,1
AbAβy,1
AbaBY,1 - sXam
AbaBy,1 - sXam
AbabY,1 - sXam
Ababy,1 - sXam
AbaβY,1 - sXam
Abaβy,1 - sXam
AbαBY,1
AbαBy,1
AbαbY,1
Abαby,1
AbαβY,1
Abαβy,1
AβAβY,1
AβAβy,1
AβaBY,1 - sXam
AβaBy,1 - sXam
AβabY,1 - sXam
Aβaby,1 - sXam
AβaβY,1 - sXam
Aβaβy,1 - sXam
AβαBY,1
AβαBy,1
AβαbY,1
Aβαby,1
AβαβY,1
Aβαβy,1
aBaBY,1 - sXam
aBaBy,1 - sXam
aBabY,1 - sXam
aBaby,1 - sXam
aBaβY,1 - sXam
aBaβy,1 - sXam
aBαBY,1 - sXam
aBαBy,1 - sXam
aBαbY,1 - sXam
aBαby,1 - sXam
aBαβY,1 - sXam
aBαβy,1 - sXam
ababY,1 - sXam
ababy,1 - sXam
abaβY,1 - sXam
abaβy,1 - sXam
abαBY,1 - sXam
abαBy,1 - sXam
abαbY,1 - sXam
abαby,1 - sXam
abαβY,1 - sXam
abαβy,1 - sXam
aβaβY,1 - sXam
aβaβy,1 - sXam
aβαBY,1 - sXam
aβαBy,1 - sXam
aβαbY,1 - sXam
aβαby,1 - sXam
aβαβY,1 - sXam
aβαβy,1 - sXam
αBαBY,1
αBαBy,1
αBαbY,1
αBαby,1
αBαβY,1
αBαβy,1
αbαbY,1
αbαby,1
αbαβY,1
αbαβy,1
αβαβY,1
αβαβy,1
